,station,date,prcp,tobs,name,latitude,longitude,elevation
136,USC00519397,2011-05-11,0.1,75,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
137,USC00519397,2011-05-19,0.01,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
138,USC00519397,2011-05-22,0.06,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
139,USC00519397,2011-05-23,0.02,78,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
140,USC00519397,2011-05-31,0.05,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
141,USC00519397,2011-06-01,0.07,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
142,USC00519397,2011-06-03,0.56,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
143,USC00519397,2011-06-04,0.89,70,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
144,USC00519397,2011-06-08,0.03,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
145,USC00519397,2011-06-09,0.01,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
146,USC00519397,2011-06-19,0.05,75,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
147,USC00519397,2011-06-20,0.06,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
148,USC00519397,2011-06-21,0.07,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
149,USC00519397,2011-06-27,0.01,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
150,USC00519397,2011-06-28,0.01,75,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
151,USC00519397,2011-07-01,0.05,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
152,USC00519397,2011-07-02,0.02,78,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
153,USC00519397,2011-07-05,0.01,78,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
154,USC00519397,2011-07-06,0.01,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
155,USC00519397,2011-07-07,0.01,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
156,USC00519397,2011-07-09,0.03,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
157,USC00519397,2011-07-10,0.02,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
158,USC00519397,2011-07-13,0.15,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
159,USC00519397,2011-07-17,0.04,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
160,USC00519397,2011-07-21,0.03,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
161,USC00519397,2011-07-27,0.04,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
162,USC00519397,2011-07-28,0.09,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
163,USC00519397,2011-07-29,0.04,78,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
164,USC00519397,2011-07-30,0.12,80,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
165,USC00519397,2011-08-04,0.02,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
166,USC00519397,2011-08-05,0.03,78,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
167,USC00519397,2011-08-06,0.01,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
168,USC00519397,2011-08-17,0.02,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
169,USC00519397,2011-08-20,0.07,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
170,USC00519397,2011-08-28,0.05,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
171,USC00519397,2011-08-29,0.1,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
172,USC00519397,2011-08-30,0.02,78,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
173,USC00519397,2011-09-04,0.03,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
174,USC00519397,2011-09-13,0.01,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
175,USC00519397,2011-09-17,0.02,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
176,USC00519397,2011-09-18,0.04,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
177,USC00519397,2011-09-22,0.03,78,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
178,USC00519397,2011-10-07,0.03,78,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
179,USC00519397,2011-10-10,0.02,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
180,USC00519397,2011-10-11,0.03,78,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
181,USC00519397,2011-10-14,0.03,78,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
182,USC00519397,2011-10-15,0.02,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
183,USC00519397,2011-10-17,0.02,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
184,USC00519397,2011-10-18,0.01,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
185,USC00519397,2011-10-24,0.14,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
186,USC00519397,2011-10-25,1.6,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
187,USC00519397,2011-10-26,0.01,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
188,USC00519397,2011-10-28,0.05,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
189,USC00519397,2011-10-29,0.01,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
190,USC00519397,2011-10-31,0.03,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
191,USC00519397,2011-11-01,0.58,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
192,USC00519397,2011-11-02,0.28,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
193,USC00519397,2011-11-03,0.02,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
194,USC00519397,2011-11-04,0.01,75,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
195,USC00519397,2011-11-09,0.02,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
196,USC00519397,2011-11-11,0.05,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
197,USC00519397,2011-11-21,0.01,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
198,USC00519397,2011-11-22,0.02,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
199,USC00519397,2011-11-23,0.01,75,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
200,USC00519397,2011-11-25,0.01,70,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
201,USC00519397,2011-11-26,0.02,75,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
202,USC00519397,2011-11-27,0.07,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
203,USC00519397,2011-11-30,0.02,66,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
204,USC00519397,2011-12-01,0.03,69,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
205,USC00519397,2011-12-02,0.08,68,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
206,USC00519397,2011-12-09,0.13,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
207,USC00519397,2011-12-10,0.07,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
208,USC00519397,2011-12-11,0.07,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
209,USC00519397,2011-12-12,0.08,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
210,USC00519397,2011-12-13,0.4,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
211,USC00519397,2011-12-14,0.7,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
212,USC00519397,2011-12-16,0.01,70,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
213,USC00519397,2011-12-17,0.07,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
214,USC00519397,2011-12-18,0.02,69,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
215,USC00519397,2011-12-19,0.15,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
216,USC00519397,2011-12-20,0.02,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
217,USC00519397,2011-12-21,0.18,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
218,USC00519397,2011-12-22,0.03,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
219,USC00519397,2011-12-23,0.04,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
220,USC00519397,2011-12-24,0.1,70,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
221,USC00519397,2011-12-25,0.03,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
222,USC00519397,2011-12-31,0.01,63,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
223,USC00519397,2012-01-16,0.04,75,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
224,USC00519397,2012-01-19,0.02,68,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
225,USC00519397,2012-01-27,0.04,68,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
226,USC00519397,2012-01-28,0.03,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
227,USC00519397,2012-01-29,1.03,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
228,USC00519397,2012-01-30,0.01,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
229,USC00519397,2012-02-07,0.37,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
230,USC00519397,2012-02-08,0.28,65,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
231,USC00519397,2012-02-09,0.01,61,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
232,USC00519397,2012-02-13,0.04,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
233,USC00519397,2012-02-14,0.01,65,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
234,USC00519397,2012-02-18,0.04,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
235,USC00519397,2012-02-19,0.01,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
236,USC00519397,2012-02-26,0.05,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
237,USC00519397,2012-02-27,0.06,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
238,USC00519397,2012-03-01,0.06,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
239,USC00519397,2012-03-03,0.03,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
240,USC00519397,2012-03-04,0.01,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
241,USC00519397,2012-03-05,1.08,67,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
242,USC00519397,2012-03-06,4.0,69,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
243,USC00519397,2012-03-07,2.42,67,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
244,USC00519397,2012-03-08,0.02,69,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
245,USC00519397,2012-03-09,0.19,66,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
246,USC00519397,2012-03-10,0.06,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
247,USC00519397,2012-03-12,0.03,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
248,USC00519397,2012-03-16,0.05,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
249,USC00519397,2012-03-22,0.03,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
250,USC00519397,2012-03-23,0.01,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
251,USC00519397,2012-03-26,0.11,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
252,USC00519397,2012-03-27,0.03,70,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
253,USC00519397,2012-03-28,0.02,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
254,USC00519397,2012-04-05,0.19,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
255,USC00519397,2012-04-07,0.03,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
256,USC00519397,2012-04-09,0.07,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
257,USC00519397,2012-04-10,0.05,69,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
258,USC00519397,2012-04-11,0.06,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
259,USC00519397,2012-04-13,0.03,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
260,USC00519397,2012-04-15,0.01,75,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
